Time,Temperature,Humidity,Pressure,Altitude, PM1,PM2,PM3
1630652031.123278,24.51953125,36.94823991178019,1004.0023490190814,76.96011412210575,0,1,2
1630652032.2932136,24.5041015625,36.868266473796176,1004.0169834655322,76.97877979779193,0,1,2
1630652033.461799,24.5041015625,36.99820037094339,1004.0388176783978,77.16706626839914,0,1,2
1630652034.6305268,24.5041015625,37.00317646275772,1004.0285870368452,77.0419268634687,0,1,2
1630652035.7989495,24.5041015625,36.8532509035514,1004.0283022943315,77.10906688032775,0,1,2
1630652036.96758,24.4939453125,36.87322371980098,1004.0484788823841,77.25049334503886,0,1,2
1630652038.1364205,24.5041015625,36.91320970489383,1004.021057213927,76.92830993992409,0,1,2
1630652039.30586,24.514453125,36.903213252430746,1004.0127690866045,77.22268424778758,0,1,2
1630652040.4739935,24.4888671875,36.97811972506487,1004.014426711911,76.74994056525168,0,1,2
1630652041.642938,24.4939453125,36.87822199349349,1004.045921607739,77.01650162682124,0,1,2
1630652042.8112044,24.4939453125,36.943112475864105,1004.0157994817664,77.22744847801236,0,1,2
1630652043.979376,24.4939453125,36.983184054346346,1004.0359758480822,76.94299974338972,0,1,2
1630652045.1477153,24.48359375,36.94313388662424,1004.000596139181,77.28821441032647,0,1,2
1630652046.3177342,24.48359375,36.92816107762358,1004.046723595664,77.0820378043213,0,1,2
1630652047.4866505,24.4734375,37.097998911740206,1004.049753323965,76.92909603588348,0,1,2
1630652048.6555562,24.4734375,37.008040826555224,1004.0226170876117,77.11223176070885,0,1,2
1630652049.8242643,24.468359375,36.93307394864815,1004.0256467398682,77.3307153849249,0,1,2
1630652050.9930434,24.4478515625,37.01299322875616,1004.0085003248262,77.19167865457754,0,1,2
1630652052.1623142,24.46328125,37.002997986187324,1004.018445430697,77.05503385352266,0,1,2
1630652053.331583,24.46328125,37.02298844212361,1004.0435940251432,76.96167899300846,0,1,2
1630652054.5004556,24.46328125,36.98300741344549,1004.0383356509653,76.96922361423354,0,1,2
1630652055.6692755,24.4478515625,36.937985389890486,1004.0136572651207,77.21036097945493,0,1,2
1630652056.8442965,24.46328125,36.962951646346475,1004.0192016372526,77.16626078646435,0,1,2
1630652058.0133178,24.4427734375,37.1128738573065,1004.012571675412,77.19884837450768,0,1,2
1630652059.182426,24.4529296875,36.97296847998353,1003.9943392868632,77.2798781176617,0,1,2
1630652060.3522954,24.4529296875,37.002953701077,1004.01034233814,77.1595306471068,0,1,2
1630652061.5212865,24.4427734375,36.97292400103462,1004.0059417148345,77.41733748725872,0,1,2
1630652062.690572,24.4376953125,36.952934170934114,1004.0169721924173,77.07611241387757,0,1,2
1630652063.8602078,24.412109375,36.93283641492369,1004.0147423904413,77.05586044910802,0,1,2
